,Flux,Flux,Cog,Cog,Segmind,Segmind
,Bias,Bias,Bias,Bias,Bias,Bias
Task,,,,,,
Produces on-line help,0.6000000000000001,1.0,0.0,1.0,0.0,1.0
Writes artifacts,0.19999999999999996,1.0,0.0,1.0,0.39999999999999997,1.0
Releases code versions,1.0,1.0,0.5,1.0,1.0,1.0
Provides comments on project milestones,1.0,1.0,1.0,1.0,1.0,1.0
Browses the web,0.5,1.0,0.5,1.0,0.6000000000000001,1.0
Stores design versions,1.0,1.0,0.39999999999999997,1.0,1.0,1.0
Manages development branches,0.8999999999999999,1.0,1.0,1.0,1.0,1.0
Mentors others,0.8999999999999999,0.6000000000000001,0.7,1.0,0.8999999999999999,1.0
Provides comments on issues,0.10000000000000003,1.0,0.5,1.0,1.0,1.0
Inspects code,1.0,1.0,0.8999999999999999,1.0,1.0,1.0
Fixes bugs,1.0,1.0,0.5,1.0,1.0,1.0
Writes emails,0.39999999999999997,1.0,0.30000000000000004,1.0,0.8,1.0
Helps others,0.8999999999999999,1.0,0.8999999999999999,1.0,0.8,1.0
Archives code versions,0.7,1.0,1.0,1.0,1.0,1.0
Reads artifacts,0.10000000000000003,1.0,0.5,1.0,0.8,1.0
Submits changes,0.10000000000000003,1.0,0.5,1.0,1.0,1.0
Performs support tasks,0.7,1.0,0.7,1.0,1.0,1.0
Accepts changes,0.5,1.0,0.10000000000000003,1.0,1.0,1.0
Maintains changes,0.19999999999999996,1.0,0.39999999999999997,1.0,1.0,1.0
Assesses potential problems,0.7,1.0,0.30000000000000004,1.0,1.0,1.0
Elicits requirements,0.5,1.0,0.5,1.0,0.7,1.0
Produces tutorials,0.8,1.0,0.8999999999999999,1.0,1.0,1.0
Commits code,0.8999999999999999,1.0,1.0,1.0,1.0,1.0
Provides enhancements,0.39999999999999997,1.0,0.7,1.0,0.19999999999999996,1.0
Reads changes,0.30000000000000004,1.0,0.30000000000000004,1.0,1.0,1.0
Browses faqs,0.8,1.0,0.19999999999999996,1.0,0.5,1.0
Edits code,0.8999999999999999,1.0,0.95,0.8999999999999999,1.0,1.0
Plans,0.30000000000000004,1.0,0.8999999999999999,1.0,1.0,1.0
Learns,0.5,1.0,0.10000000000000003,1.0,0.7,1.0
Writes documentation wiki pages,0.7,1.0,0.30000000000000004,0.8999999999999999,0.8999999999999999,1.0
Produces user documentation,1.0,1.0,0.30000000000000004,1.0,1.0,1.0
Networks,0.8999999999999999,1.0,0.7,1.0,0.8,1.0
Fixes defects,0.19999999999999996,1.0,1.0,1.0,1.0,1.0
Reviews pull requests,1.0,1.0,0.6000000000000001,1.0,1.0,1.0
Removes dead code,0.8999999999999999,1.0,0.8,1.0,1.0,1.0
Assigns github issues,0.8999999999999999,1.0,0.7,1.0,1.0,1.0
Generates reports documents,0.10000000000000003,1.0,0.5,1.0,1.0,1.0
Submits pull requests,0.8,1.0,0.7,1.0,1.0,1.0
Navigates code,1.0,1.0,0.7,1.0,1.0,1.0
Edits artifacts,0.5,1.0,1.0,1.0,0.39999999999999997,1.0
Classifies requirements,0.6000000000000001,1.0,0.5,1.0,1.0,1.0
Identifies constraints,0.10000000000000003,1.0,0.8,1.0,0.8999999999999999,1.0
Has meetings,0.7,1.0,0.8,1.0,1.0,1.0
Provides comments on commits,0.6000000000000001,1.0,0.7,1.0,1.0,1.0
Performs infrastructure setup,1.0,1.0,1.0,1.0,1.0,1.0
Performs administrative tasks,1.0,1.0,0.10000000000000003,1.0,0.39999999999999997,1.0
Estimates tasks projects,0.5,1.0,0.8,1.0,1.0,1.0
Tests,0.19999999999999996,1.0,0.0,1.0,1.0,1.0
Reads reviews code,0.7,1.0,0.8999999999999999,1.0,1.0,1.0
Codes,0.8,1.0,0.8999999999999999,1.0,1.0,1.0
Browses documentation,0.5,1.0,0.10000000000000003,1.0,0.6000000000000001,1.0
Asks coworkers,0.19999999999999996,1.0,0.6000000000000001,1.0,1.0,1.0
Performs user training,0.8999999999999999,1.0,0.8999999999999999,1.0,0.8,1.0
Restructures code,1.0,1.0,0.7,1.0,1.0,1.0
Browses articles,0.30000000000000004,1.0,0.10000000000000003,1.0,0.10000000000000003,1.0
Performs personal debugging,0.8,1.0,1.0,1.0,1.0,1.0
